quarter,age_band,population
2019-Q2,0-4,1554029
2019-Q2,5-9,1616363
2019-Q2,10-14,1560842
2019-Q2,15-19,1494826
2019-Q2,20-24,1740123
2019-Q2,25-29,1892243
2019-Q2,30-34,1886359
2019-Q2,35-39,1785674
2019-Q2,40-44,1599113
2019-Q2,45-49,1683617
2019-Q2,50-54,1540816
2019-Q2,55-59,1553707
2019-Q2,60-64,1393957
2019-Q2,65-69,1230623
2019-Q2,70-74,1061422
2019-Q2,75-79,729382
2019-Q2,80+,1011730
2019-Q3,0-4,1552273
2019-Q3,5-9,1617797
2019-Q3,10-14,1571814
2019-Q3,15-19,1496807
2019-Q3,20-24,1741325
2019-Q3,25-29,1895735
2019-Q3,30-34,1894288
2019-Q3,35-39,1800211
2019-Q3,40-44,1605036
2019-Q3,45-49,1683634
2019-Q3,50-54,1548320
2019-Q3,55-59,1557562
2019-Q3,60-64,1405879
2019-Q3,65-69,1238314
2019-Q3,70-74,1072972
2019-Q3,75-79,738387
2019-Q3,80+,1017719
2019-Q4,0-4,1547505
2019-Q4,5-9,1619209
2019-Q4,10-14,1582695
2019-Q4,15-19,1489899
2019-Q4,20-24,1719672
2019-Q4,25-29,1895306
2019-Q4,30-34,1901896
2019-Q4,35-39,1815062
2019-Q4,40-44,1611608
2019-Q4,45-49,1684107
2019-Q4,50-54,1556316
2019-Q4,55-59,1563078
2019-Q4,60-64,1420588
2019-Q4,65-69,1249192
2019-Q4,70-74,1087416
2019-Q4,75-79,748997
2019-Q4,80+,1027922
2020-Q1,0-4,1542954
2020-Q1,5-9,1621442
2020-Q1,10-14,1594436
2020-Q1,15-19,1494357
2020-Q1,20-24,1720231
2020-Q1,25-29,1895463
2020-Q1,30-34,1909097
2020-Q1,35-39,1829999
2020-Q1,40-44,1617935
2020-Q1,45-49,1684532
2020-Q1,50-54,1563392
2020-Q1,55-59,1566668
2020-Q1,60-64,1432137
2020-Q1,65-69,1257855
2020-Q1,70-74,1100274
2020-Q1,75-79,759037
2020-Q1,80+,1038115
2020-Q2,0-4,1535006
2020-Q2,5-9,1619484
2020-Q2,10-14,1602822
2020-Q2,15-19,1486431
2020-Q2,20-24,1704289
2020-Q2,25-29,1885038
2020-Q2,30-34,1908901
2020-Q2,35-39,1840508
2020-Q2,40-44,1621162
2020-Q2,45-49,1682860
2020-Q2,50-54,1568324
2020-Q2,55-59,1567097
2020-Q2,60-64,1439525
2020-Q2,65-69,1262782
2020-Q2,70-74,1111053
2020-Q2,75-79,768016
2020-Q2,80+,1045950
2020-Q3,0-4,1524774
2020-Q3,5-9,1617919
2020-Q3,10-14,1607131
2020-Q3,15-19,1482463
2020-Q3,20-24,1678050
2020-Q3,25-29,1864531
2020-Q3,30-34,1903677
2020-Q3,35-39,1845433
2020-Q3,40-44,1628134
2020-Q3,45-49,1673926
2020-Q3,50-54,1578727
2020-Q3,55-59,1563156
2020-Q3,60-64,1446324
2020-Q3,65-69,1267789
2020-Q3,70-74,1120042
2020-Q3,75-79,777566
2020-Q3,80+,1053699
2020-Q4,0-4,1513124
2020-Q4,5-9,1617480
2020-Q4,10-14,1612516
2020-Q4,15-19,1478763
2020-Q4,20-24,1652451
2020-Q4,25-29,1847647
2020-Q4,30-34,1901053
2020-Q4,35-39,1851932
2020-Q4,40-44,1636361
2020-Q4,45-49,1665609
2020-Q4,50-54,1589467
2020-Q4,55-59,1558985
2020-Q4,60-64,1452597
2020-Q4,65-69,1272436
2020-Q4,70-74,1129171
2020-Q4,75-79,787606
2020-Q4,80+,1063500
2021-Q1,0-4,1511346
2021-Q1,5-9,1616858
2021-Q1,10-14,1618059
2021-Q1,15-19,1478975
2021-Q1,20-24,1635558
2021-Q1,25-29,1832888
2021-Q1,30-34,1899544
2021-Q1,35-39,1859166
2021-Q1,40-44,1645100
2021-Q1,45-49,1657660
2021-Q1,50-54,1600364
2021-Q1,55-59,1554445
2021-Q1,60-64,1458337
2021-Q1,65-69,1275988
2021-Q1,70-74,1137787
2021-Q1,75-79,797556
2021-Q1,80+,1073374
2021-Q2,0-4,1509001
2021-Q2,5-9,1616307
2021-Q2,10-14,1623574
2021-Q2,15-19,1479212
2021-Q2,20-24,1622904
2021-Q2,25-29,1821501
2021-Q2,30-34,1899235
2021-Q2,35-39,1867096
2021-Q2,40-44,1654391
2021-Q2,45-49,1649964
2021-Q2,50-54,1611745
2021-Q2,55-59,1550803
2021-Q2,60-64,1465460
2021-Q2,65-69,1280475
2021-Q2,70-74,1146827
2021-Q2,75-79,807271
2021-Q2,80+,1079646
2021-Q3,0-4,1509976
2021-Q3,5-9,1612970
2021-Q3,10-14,1625531
2021-Q3,15-19,1486181
